,eventID,case concept:name,case REG_DATE,case AMOUNT_REQ,event org:resource,event concept:name,event lifecycle:transition,event time:timestamp,case:concept:name,concept:name,time:timestamp,@@index,@@case_index,ground_truth_activity,ground_truth_time,time_until_next_event,event_number
0,0.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,112.0,A_SUBMITTED,COMPLETE,2011-01-10 00:38:44.546000+00:00,173688,A_SUBMITTED,2011-01-10 00:38:44.546000+00:00,0.0,0.0,A_PARTLYSUBMITTED,2011-01-10 00:38:44.880000+00:00,0.334,0.0
1,1.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,112.0,A_PARTLYSUBMITTED,COMPLETE,2011-01-10 00:38:44.880000+00:00,173688,A_PARTLYSUBMITTED,2011-01-10 00:38:44.880000+00:00,1.0,0.0,A_PREACCEPTED,2011-01-10 00:39:37.906000+00:00,53.026,1.0
2,2.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,112.0,A_PREACCEPTED,COMPLETE,2011-01-10 00:39:37.906000+00:00,173688,A_PREACCEPTED,2011-01-10 00:39:37.906000+00:00,2.0,0.0,W_Completeren aanvraag,2011-01-10 00:39:38.875000+00:00,0.969,2.0
3,3.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,112.0,W_Completeren aanvraag,SCHEDULE,2011-01-10 00:39:38.875000+00:00,173688,W_Completeren aanvraag,2011-01-10 00:39:38.875000+00:00,3.0,0.0,W_Completeren aanvraag,2011-01-10 11:36:46.437000+00:00,39427.562,3.0
4,4.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,,W_Completeren aanvraag,START,2011-01-10 11:36:46.437000+00:00,173688,W_Completeren aanvraag,2011-01-10 11:36:46.437000+00:00,4.0,0.0,A_ACCEPTED,2011-01-10 11:42:43.308000+00:00,356.871,4.0
5,5.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,10862.0,A_ACCEPTED,COMPLETE,2011-01-10 11:42:43.308000+00:00,173688,A_ACCEPTED,2011-01-10 11:42:43.308000+00:00,5.0,0.0,A_FINALIZED,2011-01-10 11:45:09.243000+00:00,145.935,5.0
6,7.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,10862.0,A_FINALIZED,COMPLETE,2011-01-10 11:45:09.243000+00:00,173688,A_FINALIZED,2011-01-10 11:45:09.243000+00:00,6.0,0.0,O_SELECTED,2011-01-10 11:45:09.243000+00:00,0.0,6.0
7,6.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,10862.0,O_SELECTED,COMPLETE,2011-01-10 11:45:09.243000+00:00,173688,O_SELECTED,2011-01-10 11:45:09.243000+00:00,7.0,0.0,O_CREATED,2011-01-10 11:45:11.197000+00:00,1.954,7.0
8,8.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,10862.0,O_CREATED,COMPLETE,2011-01-10 11:45:11.197000+00:00,173688,O_CREATED,2011-01-10 11:45:11.197000+00:00,8.0,0.0,O_SENT,2011-01-10 11:45:11.380000+00:00,0.183,8.0
9,9.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,10862.0,O_SENT,COMPLETE,2011-01-10 11:45:11.380000+00:00,173688,O_SENT,2011-01-10 11:45:11.380000+00:00,9.0,0.0,W_Nabellen offertes,2011-01-10 11:45:11.554000+00:00,0.174,9.0
10,10.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,,W_Nabellen offertes,SCHEDULE,2011-01-10 11:45:11.554000+00:00,173688,W_Nabellen offertes,2011-01-10 11:45:11.554000+00:00,10.0,0.0,W_Completeren aanvraag,2011-01-10 11:45:13.917000+00:00,2.363,10.0
11,11.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,,W_Completeren aanvraag,COMPLETE,2011-01-10 11:45:13.917000+00:00,173688,W_Completeren aanvraag,2011-01-10 11:45:13.917000+00:00,11.0,0.0,W_Nabellen offertes,2011-01-10 12:15:41.290000+00:00,1827.373,11.0
12,12.0,173688.0,2011-01-10 00:38:44.546000+00:00,20000.0,,W_Nabellen offertes,START,2011-01-10 12:15:41.290000+00:00,173688,W_Nabellen offertes,2011-01-10 12:15:41.290000+00:00,12.0,0.0,W_Nabellen offertes,2011-01-10 12:17:08.924000+00:00,87.634,12.0
